数据来源,车辆全称,品牌车系,新车的价格,二手车的成交价,车况校正价,使用年限,车辆评级,车辆大类,车辆小类,车辆属性,城市,行驶里程,残值率,rounded_year
有辆,本田 第七代雅阁 2006款 2.4 自动 舒适版,本田-雅阁,22.28,0.86,0.86,19.58,中,轿车,中型车,合资,烟台,20.8,0.0385996409335727,20.0
有辆,大众 朗逸 2017款 1.6 手自一体 舒适版,大众-朗逸,13.69,2.8,3.2,8.25,差,轿车,紧凑型车,合资,成都,10.39,0.2337472607742878,8.0
优信拍,大众 帕萨特 2013款 1.8T 自动 尊荣版,大众-帕萨特,21.58,1.46,1.67,11.92,差,轿车,中型车,合资,西安,22.03,0.077386468952734,12.0
优信拍,大众 桑塔纳 2019款 1.5 手动 风尚版 国VI,大众-桑塔纳,8.69,2.21,2.21,5.83,中,轿车,紧凑型车,合资,北京,15.63,0.2543153049482163,6.0
优信拍,丰田 雷凌 2019款 1.2T 自动 185T豪华版 国VI,丰田-雷凌,13.98,4.49,4.49,5.58,中,轿车,紧凑型车,合资,武汉,8.22,0.321173104434907,6.0
有辆,本田 思域 2016款 1.5T 无级 220TURBO 豪华版,本田-思域,13.99,5.3,5.3,6.42,中,轿车,紧凑型车,合资,海口,9.0,0.3788420300214438,6.0
优信拍,丰田 RAV4荣放 2015款 自动 2.0L CVT两驱风尚版,丰田-RAV4,19.98,4.22,4.22,10.67,中,SUV,紧凑型车,合资,深圳,9.41,0.2112112112112112,11.0
优信拍,雪佛兰 科鲁兹三厢 2013款 1.6 手动 SE,雪佛兰-科鲁兹,11.29,0.5,0.5,12.58,中,轿车,紧凑型车,合资,昆明,12.05,0.0442869796279893,13.0
优信拍,路虎 发现神行 2017款 2.0T 自动 HSE,路虎-发现神行,40.8,5.69,6.5,8.42,差,SUV,中型车,合资,武汉,8.05,0.1593137254901961,8.0
优信拍,日产 奇骏 2010款 2.5 自动 XV至尊型,日产-奇骏,22.98,2.08,2.08,13.75,中,SUV,紧凑型车,合资,上海,13.15,0.0905134899912967,14.0
